video_id,title,view_count,like_count,comment_count,engagement_rate,published_at
pQaG0ay957M,Race Highlights | 2024 Belgian Grand Prix,7505519,137281,6328,1.9133786750789652,2024-07-28 15:48:59+00:00
jgrXIfJTT2I,Lewis Hamilton Joins Ferrari For The 2025 F1 Season!,2223754,72474,5553,3.508796386650682,2024-02-01 21:06:07+00:00
NGSPg5ns2-0,Race Highlights | 2024 Qatar Grand Prix,5912137,108000,4424,1.9015797502662741,2024-12-01 18:47:05+00:00
q_X37xjVCTs,The F1 Grid Does Secret Santa 2024!,3131787,137503,3664,4.507554313240332,2024-12-22 15:00:52+00:00
t_kWOKjXHQA,Qualifying Highlights | Mexico City Grand Prix,3769127,78197,2796,2.1488530367907472,2024-10-26 22:33:35+00:00
mBEEFcio_zs,Sainz & Perez Clash In Baku | Jolyon Palmer's Breakdown,922399,16985,2754,2.1399632913739066,2024-09-15 19:39:47+00:00
sVUhtqwOAZA,Sprint Qualifying Highlights | 2024 Sao Paulo Grand Prix,3279199,61312,2209,1.937088904942945,2024-11-01 19:53:27+00:00
waEwZWrG3Eg,"""You Gotta Either Be Blind or Stupid to not See Me"" ðŸ˜¡",3431932,109150,1878,3.2351456847047086,2024-05-14 10:00:56+00:00
Pr32-xKm6no,Sprint Qualifying Highlights | 2024 Qatar Grand Prix,2746693,52643,1661,1.9770684237371998,2024-11-29 18:43:34+00:00
pQFNF7KN7LM,12 Times F1 Drivers Got Heated,6838338,55511,1449,0.8329509304746271,2024-01-11 16:00:29+00:00
hzlqtID692Y,INSIDE STORY: How Lewis Hamilton Won His First Race Since 2021 | 2024 British Grand Prix | Lenovo,2654095,43603,1408,1.6959076446020207,2024-07-17 15:00:48+00:00
kAZ7vop0F2M,Piastriâ€™s Unbelievable First F1 Win And The Best Team Radio | 2024 Hungarian Grand Prix | Paramount+,758150,17456,1360,2.481830772274616,2024-07-22 16:00:42+00:00
8SJoVIFCULA,20 Times Title Rivals Collided!,1114212,20642,1305,1.9697328695077776,2024-02-16 16:57:21+00:00
G0kZsTCcmko,Drivers' Reaction After the Race | 2024 Saudi Arabian Grand Prix,798477,16170,1023,2.153224200571839,2024-03-09 22:50:39+00:00
_oOaSXrCQTc,FP2 Highlights | 2024 Emilia Romagna Grand Prix,1425855,29834,970,2.160387977739672,2024-05-17 17:28:54+00:00
1MfKFLGJ7xo,Drivers React After Qualifying | 2024 Sao Paulo Grand Prix,366768,7331,912,2.247469790167081,2024-11-03 14:17:00+00:00
8CLkOr5P_ZA,Rosberg And Hamilton's Epic Title Decider! | 2015 United States Grand Prix | Extended Highlights,1340641,18592,895,1.4535584097457859,2024-10-14 14:00:08+00:00
CUyRW6aeTdI,Drivers React After Sprint Qualifying | 2024 Austrian Grand Prix,382341,8954,878,2.5715264645957405,2024-06-28 18:15:52+00:00
fC_y8DWyCk0,LIVE: Hungarian Grand Prix Post-Race Show,544991,7969,829,1.6143385854078325,2024-07-21 15:49:33+00:00
RnROQr2gT_E,FP1 Highlights | 2024 Chinese Grand Prix,1014588,24798,828,2.525754296325208,2024-04-19 05:56:26+00:00
